,1A_1h,1A_2h,1A_4h,1A_6h,1A_8h,1A_20h,1A_Homog,1B_1h,1B_2h,1B_4h,1B_6h,1B_8h,1B_20h,1B_Homog,1C_1h,1C_2h,1C_4h,1C_6h,1C_8h,1C_20h,1C_Homog,2A_1h,2A_2h,2A_4h,2A_6h,2A_8h,2A_20h,2A_Homog,2B_1h,2B_2h,2B_4h,2B_6h,2B_8h,2B_20h,2B_Homog,2C_1h,2C_2h,2C_4h,2C_6h,2C_8h,2C_20h,2C_Homog,3A_1h,3A_2h,3A_4h,3A_6h,3A_8h,3A_20h,3A_Homog,3B_1h,3B_2h,3B_4h,3B_6h,3B_8h,3B_20h,3B_Homog,3C_1h,3C_2h,3C_4h,3C_6h,3C_8h,3C_20h,3C_Homog,4A_1h,4A_2h,4A_4h,4A_6h,4A_8h,4A_20h,4A_Homog,4B_1h,4B_2h,4B_4h,4B_6h,4B_8h,4B_20h,4B_Homog,4C_1h,4C_2h,4C_4h,4C_6h,4C_8h,4C_20h,4C_Homog,5A_1h,5A_2h,5A_4h,5A_6h,5A_8h,5A_20h,5A_Homog,5B_1h,5B_2h,5B_4h,5B_6h,5B_8h,5B_20h,5C_1h,5C_2h,5C_4h,5C_6h,5C_8h,5C_20h,5C_Homog
4C_6h,0.436496,0.38756049,0.3985517,0.40754312,0.42938952,0.45428546,0.4927546,0.45896923,0.35097781,0.40110952,0.36485437,0.39743267,0.4147384,0.49966935,0.42977121,0.3722817,0.38616851,0.38788338,0.38655187,0.41009848,0.49696309,0.40888314,0.35162824,0.32760163,0.33469037,0.34414727,0.39448888,0.55925983,0.41766458,0.33323125,0.30360281,0.3165797,0.29746506,0.38115715,0.57518174,0.38194864,0.34013392,0.3059822,0.32903071,0.32828165,0.40099385,0.57394124,0.45201465,0.3531285,0.43506144,0.44876742,0.40973514,0.46722082,0.59123494,0.55054458,0.5071329,0.53764661,0.50181681,0.53280518,0.55990926,0.64583137,0.5929097,0.51067334,0.52835278,0.53214769,0.52756653,0.56936275,0.60046852,0.25766723,0.16073869,0.18883699,0.18597119,0.16755252,0.20741049,0.41900052,0.32002151,0.23015119,0.22455324,0.23936962,0.25080323,0.23217287,0.41949816,0.25587072,0.1135816,0.09179732,0,0.09869854,0.10077668,0.34913086,0.44563958,0.45395992,0.44004784,0.43591807,0.47872763,0.51029471,0.62977826,0.44197919,0.4224558,0.43425184,0.40164074,0.43569688,0.51597023,0.50193394,0.46633208,0.45042726,0.45152674,0.42832345,0.52436316,0.58068388
4C_8h,0.42346545,0.41590525,0.42805503,0.43617975,0.46585586,0.46538308,0.52359284,0.45213197,0.38984684,0.39387877,0.40101307,0.4258763,0.44759573,0.51852821,0.43153507,0.40945062,0.42083829,0.42058104,0.42730408,0.44463146,0.52815264,0.41097829,0.35449082,0.33183954,0.32720689,0.34445154,0.39827284,0.54735134,0.42497079,0.34898068,0.31063005,0.32693722,0.31503555,0.37364532,0.56327325,0.4054503,0.3654846,0.33251986,0.32149301,0.35113291,0.39798272,0.56727592,0.44667239,0.40272026,0.38678428,0.39935285,0.40659246,0.42120281,0.62703305,0.55377682,0.55375459,0.53714578,0.52721466,0.53238449,0.55948857,0.68637411,0.60465919,0.52272148,0.51358346,0.52716749,0.52714584,0.56780465,0.62534983,0.26575291,0.15841263,0.19193092,0.17309493,0.19317059,0.22866026,0.40358602,0.30102223,0.21919444,0.22817123,0.2098945,0.20607082,0.22648346,0.46317778,0.24233215,0.12755462,0.10458099,0.09869854,0,0.10689011,0.39554254,0.42960912,0.4391352,0.42522312,0.42109336,0.46250738,0.51693609,0.63613401,0.464129,0.44747175,0.42340394,0.43597488,0.44440745,0.49823652,0.51918055,0.49255377,0.47664896,0.48021706,0.43990634,0.51905018,0.58703963
4C_20h,0.43001045,0.42245025,0.42133361,0.43292073,0.47166735,0.48758648,0.4897308,0.43758997,0.3725856,0.36356723,0.37690978,0.41841424,0.428316,0.48883469,0.43659619,0.40793644,0.41988013,0.42563312,0.42183865,0.43981778,0.4942906,0.39543474,0.31318719,0.29275858,0.31513252,0.32096159,0.37984938,0.53149235,0.38603133,0.2983217,0.28106517,0.29344345,0.26993222,0.35421258,0.5468173,0.37585671,0.32547601,0.29964822,0.31147122,0.3159584,0.39140885,0.55592275,0.45408719,0.40337209,0.43038512,0.44370279,0.40904224,0.45620984,0.60136452,0.53735187,0.54750089,0.57276012,0.53693033,0.56388805,0.58963267,0.66070558,0.6399724,0.54186716,0.54245659,0.55611307,0.55061175,0.57401771,0.5994336,0.26260637,0.16777115,0.18212372,0.20819433,0.1574216,0.20644126,0.37688578,0.31912846,0.2182833,0.24344743,0.26188493,0.2645714,0.23255922,0.42272525,0.25496164,0.12853188,0.1106005,0.10077668,0.10689011,0,0.36213525,0.42563692,0.44584736,0.41939871,0.41390628,0.46591683,0.49024975,0.59982833,0.43242891,0.40191387,0.41153808,0.38357615,0.4095244,0.48102452,0.47903625,0.45105996,0.4293671,0.42932205,0.40579542,0.49704104,0.55073395
4C_Homog,0.56111896,0.52905455,0.48808433,0.48734832,0.46206858,0.41050868,0.33348588,0.52581011,0.44150453,0.48624928,0.40830633,0.39689438,0.43219964,0.34174274,0.53045441,0.47155261,0.47288211,0.46158009,0.45122991,0.43003851,0.3320234,0.55535682,0.53493408,0.52525239,0.51381706,0.53227885,0.49178014,0.44301036,0.55095292,0.5104621,0.49781759,0.49324821,0.49315835,0.49516566,0.46813127,0.53195782,0.49744357,0.49458333,0.48103975,0.49565852,0.4824614,0.43656325,0.56618531,0.48169707,0.53752936,0.55084704,0.55409125,0.56194436,0.49406606,0.59179514,0.54876769,0.55053676,0.54453275,0.54166469,0.56740931,0.56821306,0.60615542,0.57796738,0.56626596,0.55804003,0.53969207,0.54787323,0.53074404,0.47995191,0.44050326,0.45726505,0.39437128,0.40032608,0.35250875,0.15599747,0.54284576,0.47821727,0.47278196,0.46047807,0.44486754,0.45105243,0.17400419,0.48946727,0.41082654,0.41330479,0.34913086,0.39554254,0.36213525,0,0.49557202,0.52685283,0.48694861,0.44152477,0.48984356,0.48343487,0.47663725,0.55825755,0.50783528,0.50599244,0.52356008,0.52915223,0.49685494,0.59672724,0.52305785,0.54170735,0.55296358,0.55634066,0.54119194,0.47629225
5A_1h,0.50885081,0.48884564,0.47902314,0.49014003,0.48828339,0.479586,0.54951452,0.44744897,0.40949478,0.40084489,0.41698629,0.39386169,0.40583155,0.54816543,0.44920741,0.45963232,0.46874626,0.43873075,0.44247487,0.40799276,0.53869588,0.56284501,0.5405815,0.52079527,0.48789012,0.51787371,0.491953,0.58826935,0.60265294,0.53373454,0.50422081,0.48955548,0.50534288,0.50072756,0.59707566,0.50326309,0.51252075,0.51259094,0.50264326,0.5012229,0.49052964,0.58416286,0.3739435,0.35508485,0.32844757,0.34492243,0.3445897,0.39920727,0.60555452,0.47157159,0.50686924,0.52058995,0.51651286,0.50909916,0.51618198,0.64924342,0.48073953,0.46215192,0.4542693,0.48243763,0.47266921,0.49404033,0.61182438,0.48866231,0.44015828,0.44983758,0.39382144,0.41789052,0.4188062,0.46767761,0.56544167,0.50340617,0.4690089,0.47829366,0.45566859,0.4864851,0.555639,0.51279843,0.4459955,0.46986289,0.44563958,0.42960912,0.42563692,0.49557202,0,0.19621171,0.21784125,0.21803122,0.26955809,0.3051407,0.46600226,0.29035089,0.23467339,0.28077953,0.27562912,0.27774146,0.26906568,0.33507981,0.2938758,0.29850966,0.35540322,0.3313165,0.33656939,0.43496756
5A_2h,0.54882455,0.53281209,0.54521571,0.54864581,0.52322096,0.53773317,0.56790177,0.50004386,0.45533264,0.47718044,0.47946812,0.45468998,0.47864572,0.57488007,0.48248099,0.49165399,0.50728372,0.45952867,0.4743825,0.43643372,0.56756922,0.60805723,0.57129558,0.54084899,0.4964281,0.53679535,0.519619,0.59261515,0.65257875,0.56824676,0.5036014,0.48877197,0.51815709,0.49408211,0.59032942,0.58827697,0.57368883,0.55890053,0.54288291,0.54593922,0.51925952,0.59389846,0.45721878,0.41935776,0.3182718,0.33237256,0.39283653,0.37628597,0.63965238,0.55641239,0.57835919,0.55893032,0.53424135,0.52682764,0.54259832,0.67842288,0.56826573,0.5489889,0.53266082,0.53031118,0.52849236,0.54002739,0.66005989,0.54021187,0.47706972,0.4769037,0.43345422,0.45213858,0.4586758,0.52140591,0.58933539,0.53473477,0.50948922,0.50398737,0.47969512,0.51102801,0.60366533,0.55516644,0.47019084,0.47408265,0.45395992,0.4391352,0.44584736,0.52685283,0.19621171,0,0.0553995,0.13825099,0.15002496,0.23793646,0.49390746,0.34560323,0.23653098,0.2109056,0.27137529,0.26596687,0.26318794,0.32386963,0.26187805,0.25452594,0.27231068,0.26864099,0.25164647,0.46599437
5A_4h,0.58491706,0.56460571,0.53769387,0.5344921,0.50729793,0.51899546,0.52844738,0.53003756,0.4593309,0.46697104,0.45721529,0.44842628,0.46632017,0.53109769,0.52026859,0.49505093,0.49685487,0.44840574,0.45998541,0.42702401,0.52021797,0.61163997,0.56437989,0.53091875,0.48503305,0.52366305,0.50103547,0.55745414,0.65611891,0.56403881,0.49958542,0.48281242,0.51077778,0.46553824,0.55648139,0.57598172,0.56748066,0.54345694,0.52743932,0.53049564,0.50405939,0.55396335,0.50254228,0.4561425,0.35829756,0.35282762,0.42616536,0.39492521,0.63893966,0.6017359,0.61668021,0.59895608,0.5738168,0.55648989,0.55750857,0.67771015,0.60399506,0.58508208,0.568754,0.56663865,0.55830192,0.55024446,0.65934717,0.53853122,0.47239306,0.46588937,0.41933484,0.44142188,0.43749498,0.48089544,0.61596986,0.52887644,0.49824772,0.48959028,0.46529804,0.49663093,0.56924193,0.54979312,0.46481752,0.45901942,0.44004784,0.42522312,0.41939871,0.48694861,0.21784125,0.0553995,0,0.10393598,0.1234549,0.21394986,0.46796974,0.38483965,0.26195851,0.20476628,0.25799132,0.25577903,0.25258014,0.35469017,0.27217841,0.25099672,0.26905613,0.27056974,0.24719297,0.42384234
5A_6h,0.54901784,0.5266098,0.48928523,0.48438424,0.47341094,0.43443526,0.52150311,0.52598289,0.45254083,0.45433351,0.44457776,0.43731737,0.45383503,0.55643429,0.49139235,0.45618373,0.45432998,0.41567534,0.4220913,0.38463354,0.53447678,0.60358121,0.55879767,0.52743357,0.48021716,0.51884716,0.48705299,0.55541577,0.6534173,0.55871822,0.49381098,0.47799652,0.50596189,0.46072235,0.56732789,0.53838536,0.54186481,0.53080518,0.51478756,0.51784387,0.4900769,0.55275022,0.49094952,0.43081075,0.36420334,0.38030392,0.40110234,0.40761299,0.67204933,0.56953851,0.59824675,0.59298649,0.5678472,0.55052029,0.55854593,0.71081983,0.60985999,0.56042709,0.55127508,0.53385313,0.52308894,0.53958492,0.69245684,0.51844136,0.45757488,0.43878458,0.38806437,0.40324064,0.36167493,0.42600831,0.59153591,0.48993228,0.44631499,0.44081314,0.4165209,0.44785379,0.55129911,0.54108976,0.45611417,0.45120007,0.43591807,0.42109336,0.41390628,0.44152477,0.21803122,0.13825099,0.10393598,0,0.11763573,0.18116232,0.43186606,0.36382377,0.23909506,0.18874265,0.21800508,0.22082317,0.22121321,0.33693124,0.25207542,0.24694394,0.27379714,0.25960284,0.24671011,0.42022519
5A_8h,0.61396023,0.59364888,0.55588465,0.56117911,0.5344192,0.51634941,0.53463007,0.57417494,0.5064191,0.51481721,0.51367108,0.50028976,0.5262066,0.56956125,0.54220537,0.51396239,0.51167948,0.4703639,0.47635648,0.45456987,0.55237783,0.6325336,0.5914442,0.55375323,0.5320326,0.55551247,0.54032232,0.58215083,0.68715889,0.61258648,0.55723993,0.54021093,0.56400095,0.49738766,0.5781814,0.60911266,0.61037204,0.57710914,0.56519692,0.56539955,0.54387185,0.56164897,0.52712275,0.48488095,0.38738272,0.3809345,0.45227881,0.41665192,0.68664088,0.63014357,0.63925864,0.62210816,0.5964551,0.5801936,0.58640506,0.72541138,0.64859882,0.61697109,0.60707013,0.58989831,0.58138214,0.59659814,0.70704839,0.57936403,0.51622188,0.46618564,0.44752246,0.46392637,0.41115442,0.4717494,0.60991595,0.54983133,0.51211457,0.50539799,0.48110574,0.51243863,0.59111578,0.56781684,0.50298933,0.49413692,0.47872763,0.46250738,0.46591683,0.48984356,0.26955809,0.15002496,0.1234549,0.11763573,0,0.12681127,0.41819175,0.40384093,0.27701795,0.22364742,0.28086729,0.27964025,0.24373952,0.40841291,0.31868907,0.3162134,0.30970278,0.3255061,0.28194594,0.43812625
5A_20h,0.64930761,0.63885318,0.57265103,0.5627227,0.53121738,0.4986019,0.46779818,0.59737783,0.54486096,0.5441781,0.53248055,0.50825898,0.48916656,0.51132207,0.56300341,0.54781537,0.54749782,0.4918442,0.49816303,0.43954195,0.48995892,0.63083741,0.59360372,0.56315713,0.53073231,0.55274915,0.5203075,0.52748588,0.6416089,0.57243487,0.51791833,0.49719537,0.52728408,0.45437211,0.51122408,0.60723702,0.60473908,0.55866248,0.53594246,0.53097491,0.49142262,0.49909295,0.54052758,0.49979003,0.42338667,0.42263195,0.46898696,0.41726855,0.6042004,0.61392678,0.63815543,0.63074435,0.61356586,0.59646501,0.57926058,0.64376954,0.62849874,0.60757321,0.59814362,0.57847983,0.56828155,0.5462417,0.62540655,0.63123296,0.56492063,0.50747053,0.46953335,0.48401819,0.42727588,0.46043399,0.68243868,0.58840859,0.54230646,0.53055497,0.51228271,0.5251526,0.57980037,0.62485723,0.53127474,0.52395527,0.51029471,0.51693609,0.49024975,0.48343487,0.3051407,0.23793646,0.21394986,0.18116232,0.12681127,0,0.34203492,0.41588653,0.30054722,0.22389194,0.27574688,0.27919292,0.21854115,0.40807538,0.32154155,0.32575895,0.30033062,0.34762979,0.22631942,0.36019531
5A_Homog,0.69755749,0.71004148,0.63853554,0.59424617,0.55765512,0.48229086,0.33516065,0.64172747,0.63878042,0.612794,0.58310945,0.55176972,0.47973154,0.37234323,0.64565973,0.64239345,0.64797852,0.62234452,0.61504892,0.55770138,0.3223955,0.66084862,0.6283333,0.58545371,0.56761971,0.55773094,0.49469644,0.37402122,0.70796367,0.66777382,0.63395299,0.60994461,0.5912896,0.53001346,0.37076226,0.63763112,0.63729406,0.60688889,0.6013212,0.59107854,0.56578492,0.33432536,0.63549859,0.63694691,0.62189297,0.59775182,0.61424422,0.58512237,0.38399392,0.64010808,0.66151116,0.65604027,0.64957692,0.63303866,0.60724206,0.38627737,0.70259191,0.68284689,0.62704306,0.63682283,0.63206687,0.56403533,0.38487207,0.71799507,0.66308819,0.62873127,0.58769871,0.58986249,0.54019938,0.43525803,0.77400289,0.70076561,0.68252127,0.6803934,0.66716555,0.6827766,0.54284162,0.72833627,0.65520509,0.64758633,0.62977826,0.63613401,0.59982833,0.47663725,0.46600226,0.49390746,0.46796974,0.43186606,0.41819175,0.34203492,0,0.51618067,0.4691489,0.42547608,0.44812465,0.43097319,0.33118591,0.53060072,0.43774538,0.48316536,0.48928469,0.51952707,0.40117466,0.105976
5B_1h,0.37799882,0.38276669,0.43990041,0.45542532,0.47105767,0.49859136,0.58532838,0.30962496,0.34796622,0.34866636,0.42793836,0.42730036,0.44127044,0.59663354,0.30088255,0.36721225,0.40517925,0.42453385,0.41035767,0.44679712,0.59594417,0.39651463,0.44004101,0.46713703,0.48556486,0.47906414,0.50682836,0.6357729,0.46258589,0.51622347,0.52277352,0.52326845,0.47438245,0.55976407,0.6544732,0.41327816,0.4458021,0.4938069,0.52285028,0.49698821,0.54258233,0.62800724,0.33431745,0.32362578,0.37130184,0.38928243,0.3195405,0.41408262,0.62982454,0.41730481,0.4556573,0.49573216,0.46194698,0.48873658,0.51360144,0.67416781,0.50285561,0.44650202,0.44911551,0.47321326,0.46386403,0.50213855,0.64701869,0.41239156,0.44630139,0.49758127,0.47113806,0.44528056,0.45237782,0.55429032,0.49148104,0.46325858,0.48629689,0.4863006,0.49747092,0.4926366,0.63473897,0.44594566,0.43593547,0.42710327,0.44197919,0.464129,0.43242891,0.55825755,0.29035089,0.34560323,0.38483965,0.36382377,0.40384093,0.41588653,0.51618067,0,0.14725954,0.30696033,0.29299648,0.30242277,0.33886835,0.17295544,0.25336406,0.23240573,0.34256774,0.30997078,0.40530467,0.49367877
5B_2h,0.43555068,0.40625284,0.41088483,0.43928742,0.43712649,0.46649289,0.54982195,0.33876004,0.31547271,0.323199,0.38664432,0.39216243,0.4161521,0.56251092,0.34775101,0.33616445,0.36796655,0.3691034,0.36264712,0.37659141,0.55636648,0.45706067,0.44201194,0.46536134,0.4519856,0.47132696,0.46479842,0.57880571,0.52082473,0.48928124,0.46120905,0.44841961,0.44211412,0.48846417,0.59750601,0.43299433,0.4355823,0.4620191,0.49915221,0.45913518,0.49017636,0.57752012,0.36729021,0.32579396,0.34418146,0.35815375,0.30397429,0.37344316,0.63839121,0.44415967,0.48878203,0.5301837,0.47821008,0.4902797,0.51564292,0.68273448,0.53277922,0.46473957,0.4772808,0.48321382,0.46752612,0.50327474,0.65645782,0.42753892,0.43407165,0.45100715,0.41928066,0.39870644,0.39284274,0.50386805,0.50047971,0.44436962,0.44886937,0.46104544,0.44945344,0.43606044,0.58661738,0.47239782,0.42736564,0.41044602,0.4224558,0.44747175,0.40191387,0.50783528,0.23467339,0.23653098,0.26195851,0.23909506,0.27701795,0.30054722,0.4691489,0.14725954,0,0.18304072,0.18092539,0.18187698,0.23912315,0.15174196,0.1531522,0.12693113,0.22740382,0.20434694,0.27989956,0.44927008
5B_4h,0.53408479,0.52363036,0.46723577,0.44651785,0.44105871,0.42292434,0.48438871,0.49392245,0.43801376,0.42572778,0.41716714,0.40722922,0.41133647,0.49306975,0.45717418,0.43684854,0.43052083,0.39342427,0.40134393,0.38126099,0.484623,0.53427112,0.48840519,0.43702031,0.40685558,0.42283131,0.39243509,0.48207665,0.60146543,0.52923475,0.45841622,0.43720971,0.45153314,0.42387753,0.51653432,0.56808364,0.54243801,0.48365839,0.4676314,0.46397831,0.43748699,0.52038671,0.48041625,0.40407548,0.37318932,0.35753021,0.35376362,0.36652963,0.60526439,0.52745713,0.554172,0.55309568,0.5284093,0.51131701,0.50633703,0.64403489,0.57238675,0.52475231,0.50412192,0.50712571,0.4905205,0.4882906,0.6256719,0.54283566,0.48414898,0.44482461,0.40631891,0.41811952,0.39474034,0.50549721,0.59487125,0.49813517,0.47559706,0.44275187,0.42312627,0.44286143,0.56583195,0.54317099,0.46954655,0.45786615,0.43425184,0.42340394,0.41153808,0.50599244,0.28077953,0.2109056,0.20476628,0.18874265,0.22364742,0.22389194,0.42547608,0.30696033,0.18304072,0,0.12917749,0.12567356,0.17963648,0.26197834,0.18351447,0.16900806,0.15523525,0.16369298,0.19703902,0.4019008
5B_6h,0.50285975,0.46110197,0.3916407,0.36592507,0.37336556,0.38280094,0.50226255,0.48984711,0.4109832,0.38887368,0.38550125,0.39346916,0.37284501,0.51056166,0.44539451,0.39468989,0.37445064,0.34585768,0.34194025,0.33150269,0.50388934,0.52323432,0.47537727,0.42079445,0.38709971,0.39675561,0.3796621,0.50279903,0.59712551,0.50099501,0.43466559,0.40800454,0.40241398,0.44005303,0.51446735,0.52388401,0.50339875,0.45386194,0.47463722,0.43690544,0.44565251,0.52468965,0.43828446,0.36437795,0.34877888,0.32932095,0.28467926,0.33878335,0.62314527,0.49138944,0.4986112,0.51742084,0.47029539,0.47980454,0.45090941,0.66191577,0.55294529,0.48393459,0.47747238,0.46632121,0.46011917,0.46387417,0.64355278,0.50376789,0.45811603,0.43023839,0.39613998,0.38145846,0.37967708,0.52036668,0.60694512,0.47120328,0.42088734,0.4394517,0.43358181,0.39125056,0.59007466,0.5485508,0.43459487,0.4219439,0.40164074,0.43597488,0.38357615,0.52356008,0.27562912,0.27137529,0.25799132,0.21800508,0.28086729,0.27574688,0.44812465,0.29299648,0.18092539,0.12917749,0,0.06223563,0.17525852,0.2658069,0.20926211,0.16996363,0.16223931,0.16488773,0.2185095,0.4193362
5B_8h,0.49952851,0.47497649,0.40277954,0.36810498,0.35807192,0.35359918,0.49422607,0.49010855,0.4115001,0.40251911,0.38824981,0.37743451,0.34286364,0.4886664,0.45092694,0.39273314,0.37134217,0.3310099,0.33506791,0.31422626,0.48673787,0.54936298,0.50150594,0.43838346,0.3924231,0.40652096,0.38116719,0.50128176,0.62036819,0.52712367,0.45260369,0.42100634,0.42232927,0.44851542,0.51278821,0.54533474,0.53269411,0.47694393,0.49080571,0.45998742,0.46031806,0.5166313,0.45621442,0.38314613,0.35660429,0.32784657,0.30294827,0.32988347,0.60649603,0.48861558,0.50165861,0.51235644,0.46364269,0.47315184,0.4359013,0.64526653,0.55670478,0.49246982,0.4723917,0.45627109,0.44148737,0.44524237,0.62690354,0.52759981,0.47573985,0.46836894,0.42709406,0.41531705,0.40595322,0.52595882,0.62517782,0.49024884,0.45901789,0.45382173,0.4442918,0.41476603,0.60597562,0.56759637,0.46955872,0.45708102,0.43569688,0.44440745,0.4095244,0.52915223,0.27774146,0.26596687,0.25577903,0.22082317,0.27964025,0.27919292,0.43097319,0.30242277,0.18187698,0.12567356,0.06223563,0,0.13952518,0.25828972,0.20051225,0.16471437,0.16265296,0.15405685,0.19607388,0.40120896
5B_20h,0.55511705,0.53947211,0.45138304,0.41533792,0.38617284,0.34033839,0.40983685,0.52742198,0.46212485,0.43959361,0.41592871,0.3752951,0.32908359,0.42978284,0.49376099,0.44865666,0.42797142,0.38708611,0.395447,0.3409287,0.43039393,0.61040105,0.56526293,0.50888467,0.46923856,0.47927696,0.41746827,0.49678144,0.67454881,0.58878319,0.5176495,0.49485567,0.48587586,0.48097461,0.48634179,0.58537934,0.56324392,0.51259024,0.49948945,0.49563374,0.4690018,0.47138335,0.50350257,0.44633969,0.38475851,0.35486736,0.3752731,0.35096769,0.57561628,0.54028111,0.54172525,0.51215768,0.49186656,0.47454138,0.43729084,0.60517881,0.56321359,0.53651079,0.50454234,0.47933902,0.46945956,0.44099403,0.58681582,0.60804582,0.55266267,0.54525821,0.4693943,0.48486944,0.41262003,0.44914492,0.691299,0.56951068,0.53583459,0.48451241,0.47673996,0.48403943,0.57787122,0.6436046,0.54983207,0.5371811,0.51597023,0.49823652,0.48102452,0.49685494,0.26906568,0.26318794,0.25258014,0.22121321,0.24373952,0.21854115,0.33118591,0.33886835,0.23912315,0.17963648,0.17525852,0.13952518,0,0.31501082,0.22090147,0.23268309,0.25305492,0.24022391,0.18381109,0.3270563
5C_1h,0.42858158,0.41385741,0.45709595,0.47947326,0.48129656,0.49095662,0.57459353,0.37125869,0.35328389,0.35642264,0.41953468,0.42309606,0.435652,0.59163322,0.36884031,0.37410204,0.40845598,0.41648225,0.40664211,0.42617254,0.57812362,0.488482,0.48544638,0.52167635,0.53878638,0.53228566,0.55448024,0.65786139,0.5435567,0.56529166,0.58065584,0.58115077,0.53226478,0.6176464,0.67192171,0.44697768,0.46079271,0.5319235,0.5636302,0.53768065,0.58131309,0.63398482,0.46036216,0.42237269,0.43918478,0.45039418,0.38746211,0.45550938,0.64887328,0.49876745,0.53292663,0.57906906,0.53363828,0.54118989,0.5396198,0.6828589,0.54503908,0.49079035,0.50849893,0.51305355,0.49632107,0.50805816,0.65566606,0.47376804,0.49378209,0.54363845,0.52297217,0.49133774,0.49907569,0.58991926,0.55255545,0.50718636,0.53204187,0.52516744,0.54469004,0.52637338,0.67516109,0.51723603,0.4881076,0.48128109,0.50193394,0.51918055,0.47903625,0.59672724,0.33507981,0.32386963,0.35469017,0.33693124,0.40841291,0.40807538,0.53060072,0.17295544,0.15174196,0.26197834,0.2658069,0.25828972,0.31501082,0,0.13559691,0.1188702,0.24006802,0.198196,0.29612539,0.50549562
5C_2h,0.50881722,0.49254558,0.47948624,0.47412118,0.47084686,0.46389604,0.54215242,0.4391019,0.41560618,0.39687296,0.39763562,0.40803022,0.41813498,0.54973065,0.42217274,0.41875861,0.41899682,0.40406079,0.39843333,0.40160638,0.53980597,0.53764785,0.50742365,0.49096755,0.48012092,0.49471758,0.4923579,0.60761036,0.59284207,0.53715865,0.51111953,0.50239865,0.47567067,0.53992114,0.62115364,0.51065428,0.51923091,0.50191762,0.53346746,0.4933637,0.52427515,0.59117264,0.48257935,0.41282707,0.43155048,0.43122744,0.38135348,0.43459732,0.62296522,0.49309644,0.53505276,0.57826145,0.5303629,0.53987204,0.53620885,0.6544995,0.5765583,0.51326447,0.52504659,0.5229913,0.5050411,0.50712124,0.63006333,0.53344349,0.4838654,0.51005946,0.48743082,0.46265965,0.43778149,0.49140833,0.61023199,0.50135674,0.50761701,0.51751038,0.50275278,0.49812944,0.58791101,0.56256162,0.47481045,0.47249593,0.46633208,0.49255377,0.45105996,0.52305785,0.2938758,0.26187805,0.27217841,0.25207542,0.31868907,0.32154155,0.43774538,0.25336406,0.1531522,0.18351447,0.20926211,0.20051225,0.22090147,0.13559691,0,0.08303683,0.14349303,0.1217348,0.21233287,0.41758679
5C_4h,0.46316326,0.43424015,0.42511589,0.4453818,0.44354739,0.4676295,0.56493534,0.41692117,0.35722724,0.33996228,0.38150501,0.40224812,0.41346013,0.56922688,0.38944558,0.36558038,0.37200034,0.37625495,0.3664067,0.3749586,0.55575121,0.51420078,0.4651942,0.47319292,0.46167338,0.47623769,0.47385533,0.59744201,0.56767075,0.52446367,0.49824669,0.48927074,0.46211689,0.52126026,0.6109853,0.49783508,0.48177536,0.48309976,0.52053711,0.4810002,0.51204138,0.60704497,0.46051691,0.39960438,0.41551292,0.41518988,0.36531591,0.41855975,0.64263104,0.49825016,0.5207673,0.56621579,0.51907068,0.52915112,0.52159133,0.68140154,0.5684194,0.50297307,0.51475519,0.511973,0.4933268,0.49229101,0.66303855,0.48607686,0.47889814,0.48475582,0.45238829,0.43706973,0.43729329,0.52802297,0.57647507,0.48476793,0.47517453,0.48332188,0.47631766,0.45989669,0.60176136,0.5280897,0.47298031,0.43830611,0.45042726,0.47664896,0.4293671,0.54170735,0.29850966,0.25452594,0.25099672,0.24694394,0.3162134,0.32575895,0.48316536,0.23240573,0.12693113,0.16900806,0.16996363,0.16471437,0.23268309,0.1188702,0.08303683,0,0.14082462,0.11529925,0.21356279,0.4554488
5C_6h,0.54895492,0.530419,0.50065518,0.47873686,0.4702915,0.48020523,0.54976785,0.51941985,0.45313084,0.44076358,0.42587463,0.44420574,0.45783024,0.5469779,0.47964961,0.44422325,0.43904588,0.41293607,0.40523094,0.32023593,0.54504937,0.53980715,0.49871775,0.4463491,0.4311501,0.44516557,0.46010137,0.57874007,0.61976866,0.54273064,0.4827717,0.45755308,0.45742959,0.48275267,0.60011971,0.59218559,0.57603201,0.49750407,0.51979601,0.48135792,0.50571648,0.60180968,0.53082743,0.44366078,0.43350179,0.43035368,0.39505447,0.43356897,0.64262645,0.56222297,0.57806383,0.60512651,0.55404555,0.5646201,0.55561526,0.68139695,0.62832782,0.54175905,0.55154693,0.54823293,0.53144828,0.53516296,0.66303396,0.58113978,0.52039498,0.48043004,0.48504711,0.46616864,0.45003871,0.54335889,0.63565645,0.54017066,0.51099495,0.52452974,0.51448848,0.47778803,0.60480228,0.578075,0.48426715,0.47426132,0.45152674,0.48021706,0.42932205,0.55296358,0.35540322,0.27231068,0.26905613,0.27379714,0.30970278,0.30033062,0.48928469,0.34256774,0.22740382,0.15523525,0.16223931,0.16265296,0.25305492,0.24006802,0.14349303,0.14082462,0,0.08432167,0.1707256,0.45952047
